Type,SKU,Name,Published,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Sale price,Categories,Tags,Brands,Upsells,Cross-sells,Attribute 1 name,Attribute 1 value,Attribute 1 visible,Attribute 1 global,Attribute 1 for variation,Attribute 2 name,Attribute 2 value,Attribute 2 visible,Attribute 2 global,Attribute 2 for variation,Attribute 3 name,Attribute 3 value,Attribute 3 visible,Attribute 3 global,Attribute 3 for variation,ID,"GTIN, UPC, EAN, or ISBN",Date sale price starts,Date sale price ends,Tax class,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,External URL,Button text,Position
variable,ONE-EP1,One Piece - Episode 1,1,visible,Experience the classic adventures of One Piece in this episode 1.,This is the official release of One Piece episode 1. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,One Piece,"One Piece, Anime, English Edition",One Piece,ONE-EP2,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,ONE-EP2,One Piece - Episode 2,1,visible,Experience the classic adventures of One Piece in this episode 2.,This is the official release of One Piece episode 2. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,One Piece,"One Piece, Anime, English Edition",One Piece,ONE-EP3,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,ONE-EP3,One Piece - Episode 3,1,visible,Experience the classic adventures of One Piece in this episode 3.,This is the official release of One Piece episode 3. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,One Piece,"One Piece, Anime, English Edition",One Piece,ONE-EP1,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,NAR-EP1,Naruto - Episode 1,1,visible,Experience the classic adventures of Naruto in this episode 1.,This is the official release of Naruto episode 1. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Naruto,"Naruto, Anime, English Edition",Naruto,NAR-EP2,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,NAR-EP2,Naruto - Episode 2,1,visible,Experience the classic adventures of Naruto in this episode 2.,This is the official release of Naruto episode 2. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Naruto,"Naruto, Anime, English Edition",Naruto,NAR-EP3,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,NAR-EP3,Naruto - Episode 3,1,visible,Experience the classic adventures of Naruto in this episode 3.,This is the official release of Naruto episode 3. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Naruto,"Naruto, Anime, English Edition",Naruto,NAR-EP1,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,DOR-EP1,Doraemon - Episode 1,1,visible,Experience the classic adventures of Doraemon in this episode 1.,This is the official release of Doraemon episode 1. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Doraemon,"Doraemon, Anime, English Edition",Doraemon,DOR-EP2,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,DOR-EP2,Doraemon - Episode 2,1,visible,Experience the classic adventures of Doraemon in this episode 2.,This is the official release of Doraemon episode 2. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Doraemon,"Doraemon, Anime, English Edition",Doraemon,DOR-EP3,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,DOR-EP3,Doraemon - Episode 3,1,visible,Experience the classic adventures of Doraemon in this episode 3.,This is the official release of Doraemon episode 3. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Doraemon,"Doraemon, Anime, English Edition",Doraemon,DOR-EP1,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,DRA-EP1,Dragon Ball - Episode 1,1,visible,Experience the classic adventures of Dragon Ball in this episode 1.,This is the official release of Dragon Ball episode 1. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Dragon Ball,"Dragon Ball, Anime, English Edition",Dragon Ball,DRA-EP2,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,DRA-EP2,Dragon Ball - Episode 2,1,visible,Experience the classic adventures of Dragon Ball in this episode 2.,This is the official release of Dragon Ball episode 2. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Dragon Ball,"Dragon Ball, Anime, English Edition",Dragon Ball,DRA-EP3,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
