ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Allow customer reviews?","Sale price","Regular price",Categories,Tags,"Shipping class",Images,Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text","Swatches Attributes",Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Meta: _oembed_2dd456273b0b28aaccb80166803af684","Meta: _oembed_3ef5ce364d5560cd41c64ee4cf017f53","Meta: _oembed_time_3ef5ce364d5560cd41c64ee4cf017f53","Meta: _oembed_6b6a49c368f1cf1f64bec9234675835b","Meta: _oembed_time_6b6a49c368f1cf1f64bec9234675835b","Meta: _oembed_cc4790564e1c731fa284472882a641be","Meta: _oembed_time_cc4790564e1c731fa284472882a641be","Meta: _oembed_2988a3eaeba6d9ca3e969e8108f158ef","Meta: _oembed_time_2988a3eaeba6d9ca3e969e8108f158ef"
55,variable,iphone-pro,,Laptop,1,0,visible,,,,,taxable,,1,,,0,0,1,,,Uncategorized,,,http://localhost/vandung1/wp-content/uploads/2026/06/L713PL-view-Plus.jpg,,,iphone-pro,iphone-pro,,,,,size,"Small, Medium, Large, Extra Large",1,0,color,"red, blue, yellow, gold, purple",1,0,,,,,,,,,,,,,
78,variation,,,"Laptop - Small, red",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,28000000,,,,,iphone-pro,,,iphone-pro,,,,,size,Small,,0,color,red,,0,,,,,,,,,,,,,
79,variation,,,"Laptop - Small, blue",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,28000000,,,,,iphone-pro,,,iphone-pro,,,,,size,Small,,0,color,blue,,0,,,,,,,,,,,,,
80,variation,,,"Laptop - Small, yellow",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,28000000,,,,,iphone-pro,,,iphone-pro,,,,,size,Small,,0,color,yellow,,0,,,,,,,,,,,,,
81,variation,,,"Laptop - Small, gold",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,28000000,,,,,iphone-pro,,,iphone-pro,,,,,size,Small,,0,color,gold,,0,,,,,,,,,,,,,
82,variation,,,"Laptop - Small, purple",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,28000000,,,,,iphone-pro,,,iphone-pro,,,,,size,Small,,0,color,purple,,0,,,,,,,,,,,,,
83,variation,,,"Laptop - Medium, red",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,28000000,,,,,iphone-pro,,,iphone-pro,,,,,size,Medium,,0,color,red,,0,,,,,,,,,,,,,
84,variation,,,"Laptop - Medium, blue",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,28000000,,,,,iphone-pro,,,iphone-pro,,,,,size,Medium,,0,color,blue,,0,,,,,,,,,,,,,
85,variation,,,"Laptop - Medium, yellow",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,28000000,,,,,iphone-pro,,,iphone-pro,,,,,size,Medium,,0,color,yellow,,0,,,,,,,,,,,,,
86,variation,,,"Laptop - Medium, gold",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,28000000,,,,,iphone-pro,,,iphone-pro,,,,,size,Medium,,0,color,gold,,0,,,,,,,,,,,,,
87,variation,,,"Laptop - Medium, purple",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,28000000,,,,,iphone-pro,,,iphone-pro,,,,,size,Medium,,0,color,purple,,0,,,,,,,,,,,,,
88,variation,,,"Laptop - Large, red",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,28000000,,,,,iphone-pro,,,iphone-pro,,,,,size,Large,,0,color,red,,0,,,,,,,,,,,,,
89,variation,,,"Laptop - Large, blue",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,28000000,,,,,iphone-pro,,,iphone-pro,,,,,size,Large,,0,color,blue,,0,,,,,,,,,,,,,
